id,name,price,image,category,quantity,source,productUrl
2641,Harvest Gold Multigrain Bread,₹70,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982667/blinkit_store/l17tj1kb0amwhydzlxkb.webp,bread,450 g,Blinkit,https://blinkit.com/
2642,English Oven Milk Bread,₹50,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982669/blinkit_store/qmxacxps86onnqpydhva.webp,bread,400 g,Blinkit,https://blinkit.com/
2643,Britannia Breakfast Slice White Bread,₹45,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982670/blinkit_store/plvsjadlyogb8i0tmo6e.webp,bread,450 g,Blinkit,https://blinkit.com/
2644,Baker's Loaf Zero Preservatives Multigrain Bread,₹81,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982672/blinkit_store/bmyh0zezzvtomjfcqlsa.webp,bread,350 g,Blinkit,https://blinkit.com/
2645,English Oven Sub Footlong Roasted Garlic Bread,₹50,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982674/blinkit_store/hbsvg8mefh9jbn76ivw5.webp,bread,150 g,Blinkit,https://blinkit.com/
2646,Baker's Loaf High Protein Wheat Bread,₹86,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982675/blinkit_store/shwdanuyqrzejnogy1vn.webp,bread,350 g,Blinkit,https://blinkit.com/
2647,Protein Chef Multigrain Double Protein Bread (64g Protein per Loaf),₹99,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982677/blinkit_store/v4rsvlqnbxxywgwzwyv4.webp,bread,270 g,Blinkit,https://blinkit.com/
2648,Harvest Gold Milk Bread,₹50,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982678/blinkit_store/s61fordnzgkpepzanciu.webp,bread,400 g,Blinkit,https://blinkit.com/
2649,Theobroma Zero Maida Whole Wheat Bread,₹67,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982680/blinkit_store/fbk2xuro0tcsf3c0nczk.webp,bread,350 g,Blinkit,https://blinkit.com/
2650,Baker's Loaf Zero Maida Oatmeal Multigrain Bread by Harvest Gold,₹86,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982681/blinkit_store/ikkfeyveh6wzqmmseuhd.webp,bread,350 g,Blinkit,https://blinkit.com/
2651,Britannia Multigrain Bread,₹70,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982683/blinkit_store/hykgfoifofixwogx2ewb.webp,bread,400 g,Blinkit,https://blinkit.com/
2652,Harvest Gold No Maida Sharbati Wheat Bread,₹56,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982685/blinkit_store/y7xsqsasn0mcin3ubjnb.webp,bread,400 g,Blinkit,https://blinkit.com/
2653,English Oven Sandwich White Bread,₹45,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982686/blinkit_store/d8wqrfqd0iggbho55yzi.webp,bread,400 g,Blinkit,https://blinkit.com/
2654,Harvest Gold Sandwich White Bread,₹45,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982688/blinkit_store/hglbkyjgognpfcslxdyj.webp,bread,450 g,Blinkit,https://blinkit.com/
2655,Bonn Zero Maida 100% Atta Whole Wheat Bread,₹58,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982689/blinkit_store/npyd5hyeogl0vdqgq2hm.webp,bread,400 g,Blinkit,https://blinkit.com/
2656,Bonn High Fibre Brown Bread,₹57,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982691/blinkit_store/jwkrtyi1vmbso3dgvvuo.webp,bread,400 g,Blinkit,https://blinkit.com/
2657,Britannia 100% Whole Wheat Bread (No Maida),₹65,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982692/blinkit_store/jmji8bih3xfsxnhu7kkj.webp,bread,400 g,Blinkit,https://blinkit.com/
2658,Britannia 100% Atta Bread (No Maida),₹59,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982693/blinkit_store/tsqyvelvsjjlj0g0jw9i.webp,bread,450 g,Blinkit,https://blinkit.com/
2659,The Health Factory Zero Maida Multigrain Bread,₹70,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982695/blinkit_store/bgudcn5xwcpjqhl0rqqn.webp,bread,250 g,Blinkit,https://blinkit.com/
2660,Bonn Premium Garlic Bread,₹38,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982697/blinkit_store/mzecoebgcocszg3xbylg.webp,bread,200 g,Blinkit,https://blinkit.com/
2661,Theobroma Zero Maida Whole Wheat Bread (250 g),₹57,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982698/blinkit_store/iywoy3f60zre0xzdiup1.webp,bread,250 g,Blinkit,https://blinkit.com/
2662,English Oven Zero Maida 100% Whole Wheat Bread,₹60,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982700/blinkit_store/ufescinhwyohplv00dg5.webp,bread,400 g,Blinkit,https://blinkit.com/
2663,Paushtaa Multigrain Sourdough Bread,₹89,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982701/blinkit_store/ynviu3f2buhpi2pa8pvx.webp,bread,400 g,Blinkit,https://blinkit.com/
2664,Bonn Lehsuni Tadka Bread,₹49,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982703/blinkit_store/hlo4dxsvkavbff0jlnwy.webp,bread,250 g,Blinkit,https://blinkit.com/
2665,Bonn White Bread,₹62,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982705/blinkit_store/mfnf4p9rsxj1r7dx8orz.webp,bread,700 g,Blinkit,https://blinkit.com/
2666,Britannia Brown Bread,₹60,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982706/blinkit_store/krai06peg9efaxf3bf3o.webp,bread,400 g,Blinkit,https://blinkit.com/
2667,"The Baker's Dozen Zero Maida Pita Bread, Whole Wheat",₹85,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982708/blinkit_store/fp1knhi4m5r2e5ipyy6b.webp,bread,100 g,Blinkit,https://blinkit.com/
2668,Nutella Hazelnut Chocolate Spread with Cocoa,₹331,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982710/blinkit_store/wnqhooe3rg8ogchsiwxh.webp,bread,350 g,Blinkit,https://blinkit.com/
2669,Harvest Gold 100% Whole Wheat Bread (Zero Maida),₹65,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982712/blinkit_store/vyyrazosgdnmcqsgkdh6.webp,bread,450 g,Blinkit,https://blinkit.com/
2670,The Baker's Dozen Zero Maida Whole Wheat Bread,₹70,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982713/blinkit_store/psyeceefvdqkwx6ayiwy.webp,bread,400 g,Blinkit,https://blinkit.com/
2671,"Protein Chef 35g Protein Brown Bread, No Maida",₹59,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982714/blinkit_store/nmxcev2wkzmovswbfhnz.webp,bread,270 g,Blinkit,https://blinkit.com/
2672,Bonn No Maida Protein Bread,₹49,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982716/blinkit_store/zgyprgx3cnqyqb9rr6ic.webp,bread,250 g,Blinkit,https://blinkit.com/
2673,The Health Factory Sourdough Focaccia,₹75,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982718/blinkit_store/dmke8xtgupvr5i3qrdxv.webp,bread,160 g,Blinkit,https://blinkit.com/
2674,The Health Factory Zero Maida Milk Bread,₹60,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982720/blinkit_store/fawmqui4m5lipvrxuksh.webp,bread,250 g,Blinkit,https://blinkit.com/
2675,Britannia Fruit Bread,₹20,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982721/blinkit_store/krldtme0mv8htms33mvf.webp,bread,150 g,Blinkit,https://blinkit.com/
2676,Bonn Digestive Ajwaini Jeera Bread,₹49,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982723/blinkit_store/sysmbh0jplsrdncpdevi.webp,bread,250 g,Blinkit,https://blinkit.com/
2677,The Health Factory Zero Maida Protein Bombay Pav,₹52,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982724/blinkit_store/k0kt6vhpbfim4u4ugw7o.webp,bread,175 g,Blinkit,https://blinkit.com/
